object,nobs,first_detection,count,report_type,first_date,last_date,source,alerce_link
ZTF20achznng,2,2020-10-07T07:01:37.004Z,3,TOM,2020-10-09T10:52:56.936Z,2020-10-09T15:20:58.191Z,SN Hunter,https://alerce.online/object/ZTF20achznng
ZTF20achqzda,2,2020-10-07T06:15:35.997Z,3,TOM,2020-10-09T10:52:29.330Z,2020-10-09T15:20:53.346Z,SN Hunter,https://alerce.online/object/ZTF20achqzda
ZTF20achwayr,2,2020-10-06T04:03:13.996Z,2,TOM,2020-10-09T14:39:39.176Z,2020-10-09T15:20:33.686Z,SN Hunter,https://alerce.online/object/ZTF20achwayr
ZTF20achfher,3,2020-10-07T02:50:19.003Z,2,TOM,2020-10-09T14:38:39.999Z,2020-10-09T15:19:36.865Z,SN Hunter,https://alerce.online/object/ZTF20achfher
ZTF20achzyqx,3,2020-10-07T05:54:19.998Z,3,TOM,2020-10-09T10:57:25.053Z,2020-10-09T15:19:17.058Z,SN Hunter,https://alerce.online/object/ZTF20achzyqx
ZTF20achjrac,3,2020-10-03T06:49:43.003Z,2,TOM,2020-10-09T14:36:11.204Z,2020-10-09T15:18:54.067Z,SN Hunter,https://alerce.online/object/ZTF20achjrac
ZTF20achzbyz,4,2020-10-03T06:24:19.995Z,2,TOM,2020-10-09T14:34:52.851Z,2020-10-09T15:18:28.545Z,SN Hunter,https://alerce.online/object/ZTF20achzbyz
ZTF20achzvss,4,2020-10-07T05:40:06.003Z,3,TOM,2020-10-09T10:29:32.934Z,2020-10-09T15:18:12.761Z,SN Hunter,https://alerce.online/object/ZTF20achzvss
ZTF20achjfcb,5,2020-10-07T04:44:44.001Z,2,TOM,2020-10-07T15:23:04.112Z,2020-10-09T15:17:54.664Z,SN Hunter,https://alerce.online/object/ZTF20achjfcb
ZTF20achkrxe,6,2020-10-07T05:55:47.997Z,3,TOM,2020-10-09T10:28:31.155Z,2020-10-09T15:17:40.018Z,SN Hunter,https://alerce.online/object/ZTF20achkrxe
ZTF20achkhxe,7,2020-10-06T07:02:58.997Z,3,TOM,2020-10-07T12:01:06.673Z,2020-10-09T15:17:33.717Z,SN Hunter,https://alerce.online/object/ZTF20achkhxe
ZTF20achzsrw,1,2020-10-09T05:35:43.002Z,4,TOM,2020-10-09T13:21:00.721Z,2020-10-09T15:17:20.800Z,SN Hunter,https://alerce.online/object/ZTF20achzsrw
ZTF20achjemf,1,2020-10-09T04:34:58.995Z,3,TOM,2020-10-09T13:17:42.406Z,2020-10-09T15:14:34.340Z,SN Hunter,https://alerce.online/object/ZTF20achjemf
ZTF20achpzgi,1,2020-10-09T04:32:58.001Z,3,TOM,2020-10-09T07:17:29.346Z,2020-10-09T15:12:24.513Z,SN Hunter,https://alerce.online/object/ZTF20achpzgi
ZTF20aciaaiw,1,2020-10-09T05:53:14.999Z,4,TOM,2020-10-09T07:16:25.396Z,2020-10-09T15:11:28.695Z,SN Hunter,https://alerce.online/object/ZTF20aciaaiw
ZTF20achyuys,1,2020-10-09T04:24:37.995Z,3,TOM,2020-10-09T07:16:17.227Z,2020-10-09T15:11:18.447Z,SN Hunter,https://alerce.online/object/ZTF20achyuys
ZTF20achkmsl,1,2020-10-09T05:44:35.001Z,2,TOM,2020-10-09T07:16:05.105Z,2020-10-09T15:10:58.652Z,SN Hunter,https://alerce.online/object/ZTF20achkmsl
ZTF20achzwng,1,2020-10-09T05:44:35.001Z,6,TOM,2020-10-09T07:15:08.409Z,2020-10-09T15:10:08.523Z,SN Hunter,https://alerce.online/object/ZTF20achzwng
ZTF20aciaxil,1,2020-10-09T08:06:55.995Z,3,TOM,2020-10-09T12:48:26.453Z,2020-10-09T15:09:58.392Z,SN Hunter,https://alerce.online/object/ZTF20aciaxil
ZTF20achzmtg,2,2020-10-09T04:35:38.999Z,3,TOM,2020-10-09T14:13:39.621Z,2020-10-09T15:07:09.830Z,SN Hunter,https://alerce.online/object/ZTF20achzmtg
ZTF20achzkfe,2,2020-10-09T04:32:16.995Z,6,TOM,2020-10-09T12:48:05.946Z,2020-10-09T15:07:03.403Z,SN Hunter,https://alerce.online/object/ZTF20achzkfe
ZTF20aciafgo,3,2020-10-09T05:33:40.996Z,7,TOM,2020-10-09T07:14:49.086Z,2020-10-09T15:06:58.209Z,SN Hunter,https://alerce.online/object/ZTF20aciafgo
